NFResNet50V1:
01: {'thres': 0.3060, 'F1': 0.4320, 'F2': 0.4319, 'MCC': 0.4263, 'A': 0.9887, 'R': 0.4318, 'P': 0.4322}
02: {'thres': 0.3008, 'F1': 0.4750, 'F2': 0.4750, 'MCC': 0.4697, 'A': 0.9896, 'R': 0.4750, 'P': 0.4750}
03: {'thres': 0.3043, 'F1': 0.4986, 'F2': 0.4986, 'MCC': 0.4936, 'A': 0.9900, 'R': 0.4986, 'P': 0.4987}
04: {'thres': 0.3153, 'F1': 0.5096, 'F2': 0.5095, 'MCC': 0.5047, 'A': 0.9903, 'R': 0.5094, 'P': 0.5098}
05: {'thres': 0.3115, 'F1': 0.5178, 'F2': 0.5178, 'MCC': 0.5130, 'A': 0.9904, 'R': 0.5177, 'P': 0.5179}
06: {'thres': 0.3226, 'F1': 0.5227, 'F2': 0.5226, 'MCC': 0.5179, 'A': 0.9905, 'R': 0.5225, 'P': 0.5229}
07: {'thres': 0.3201, 'F1': 0.5267, 'F2': 0.5267, 'MCC': 0.5220, 'A': 0.9906, 'R': 0.5267, 'P': 0.5267}
08: {'thres': 0.3319, 'F1': 0.5430, 'F2': 0.5430, 'MCC': 0.5385, 'A': 0.9909, 'R': 0.5429, 'P': 0.5432}
09: {'thres': 0.3312, 'F1': 0.5472, 'F2': 0.5472, 'MCC': 0.5427, 'A': 0.9910, 'R': 0.5471, 'P': 0.5473}
10: {'thres': 0.3344, 'F1': 0.5483, 'F2': 0.5482, 'MCC': 0.5437, 'A': 0.9910, 'R': 0.5481, 'P': 0.5484}
11: {'thres': 0.3309, 'F1': 0.5546, 'F2': 0.5545, 'MCC': 0.5501, 'A': 0.9912, 'R': 0.5545, 'P': 0.5547}
12: {'thres': 0.3335, 'F1': 0.5496, 'F2': 0.5495, 'MCC': 0.5451, 'A': 0.9911, 'R': 0.5494, 'P': 0.5498}
13: {'thres': 0.3354, 'F1': 0.5620, 'F2': 0.5619, 'MCC': 0.5576, 'A': 0.9913, 'R': 0.5618, 'P': 0.5621}
14: {'thres': 0.3442, 'F1': 0.5658, 'F2': 0.5657, 'MCC': 0.5614, 'A': 0.9914, 'R': 0.5656, 'P': 0.5660}
15: {'thres': 0.3375, 'F1': 0.5732, 'F2': 0.5731, 'MCC': 0.5689, 'A': 0.9915, 'R': 0.5731, 'P': 0.5734}
16: {'thres': 0.3454, 'F1': 0.5754, 'F2': 0.5753, 'MCC': 0.5711, 'A': 0.9916, 'R': 0.5753, 'P': 0.5755}
17: {'thres': 0.3490, 'F1': 0.5758, 'F2': 0.5757, 'MCC': 0.5715, 'A': 0.9916, 'R': 0.5757, 'P': 0.5759}
18: {'thres': 0.3493, 'F1': 0.5877, 'F2': 0.5877, 'MCC': 0.5836, 'A': 0.9918, 'R': 0.5877, 'P': 0.5877}
19: {'thres': 0.3499, 'F1': 0.5894, 'F2': 0.5894, 'MCC': 0.5853, 'A': 0.9918, 'R': 0.5893, 'P': 0.5895}
20: {'thres': 0.3491, 'F1': 0.5899, 'F2': 0.5899, 'MCC': 0.5858, 'A': 0.9919, 'R': 0.5899, 'P': 0.5899}
21: {'thres': 0.3491, 'F1': 0.5913, 'F2': 0.5912, 'MCC': 0.5872, 'A': 0.9919, 'R': 0.5912, 'P': 0.5913}
22: {'thres': 0.3510, 'F1': 0.5909, 'F2': 0.5909, 'MCC': 0.5868, 'A': 0.9919, 'R': 0.5909, 'P': 0.5909}
23: {'thres': 0.3483, 'F1': 0.5927, 'F2': 0.5927, 'MCC': 0.5886, 'A': 0.9919, 'R': 0.5927, 'P': 0.5927}
24: {'thres': 0.3495, 'F1': 0.5911, 'F2': 0.5911, 'MCC': 0.5870, 'A': 0.9919, 'R': 0.5911, 'P': 0.5912}
25: {'thres': 0.3520, 'F1': 0.5922, 'F2': 0.5921, 'MCC': 0.5881, 'A': 0.9919, 'R': 0.5921, 'P': 0.5922}
26: {'thres': 0.3512, 'F1': 0.5926, 'F2': 0.5926, 'MCC': 0.5885, 'A': 0.9919, 'R': 0.5926, 'P': 0.5926}
31: {'thres': 0.3274, 'F1': 0.5637, 'F2': 0.5636, 'MCC': 0.5593, 'A': 0.9913, 'R': 0.5635, 'P': 0.5638}
38: {'thres': 0.3272, 'F1': 0.5797, 'F2': 0.5797, 'MCC': 0.5755, 'A': 0.9917, 'R': 0.5796, 'P': 0.5799}
44: {'thres': 0.3363, 'F1': 0.5929, 'F2': 0.5929, 'MCC': 0.5889, 'A': 0.9919, 'R': 0.5929, 'P': 0.5929}
50: {'thres': 0.3385, 'F1': 0.5940, 'F2': 0.5940, 'MCC': 0.5900, 'A': 0.9919, 'R': 0.5940, 'P': 0.5941}

ResNet50V4:
08: {'thres': 0.3278, 'F1': 0.5366, 'F2': 0.5366, 'MCC': 0.5320, 'A': 0.9908, 'R': 0.5365, 'P': 0.5367}
12: {'thres': 0.3388, 'F1': 0.5433, 'F2': 0.5432, 'MCC': 0.5387, 'A': 0.9909, 'R': 0.5431, 'P': 0.5435}
18: {'thres': 0.3485, 'F1': 0.5716, 'F2': 0.5715, 'MCC': 0.5673, 'A': 0.9915, 'R': 0.5714, 'P': 0.5717}
25: {'thres': 0.3401, 'F1': 0.5768, 'F2': 0.5767, 'MCC': 0.5725, 'A': 0.9916, 'R': 0.5767, 'P': 0.5768}
30: {'thres': 0.3520, 'F1': 0.5933, 'F2': 0.5933, 'MCC': 0.5893, 'A': 0.9919, 'R': 0.5933, 'P': 0.5934}

NFNetL0V1:
01: {'thres': 0.3037, 'F1': 0.4455, 'F2': 0.4455, 'MCC': 0.4400, 'A': 0.9890, 'R': 0.4455, 'P': 0.4456}
02: {'thres': 0.3047, 'F1': 0.4859, 'F2': 0.4859, 'MCC': 0.4807, 'A': 0.9898, 'R': 0.4859, 'P': 0.4859}
03: {'thres': 0.3213, 'F1': 0.5037, 'F2': 0.5037, 'MCC': 0.4987, 'A': 0.9901, 'R': 0.5036, 'P': 0.5038}
04: {'thres': 0.3111, 'F1': 0.5185, 'F2': 0.5184, 'MCC': 0.5137, 'A': 0.9904, 'R': 0.5183, 'P': 0.5187}
05: {'thres': 0.3197, 'F1': 0.5245, 'F2': 0.5243, 'MCC': 0.5197, 'A': 0.9906, 'R': 0.5243, 'P': 0.5246}
06: {'thres': 0.3161, 'F1': 0.5373, 'F2': 0.5373, 'MCC': 0.5326, 'A': 0.9908, 'R': 0.5373, 'P': 0.5373}
