run_name,bottom_index,gamma_neg,gamma_pos,clip,notes,thres,F1,F2,MCC,A,R,P
ConvNextTV1_03_29_2022_21h44m41s,0,0.0,0.0,0.0,,0.3232,0.6701,0.6701,0.6662,0.9923,0.6701,0.6701
ConvNextTV1_03_29_2022_21h49m15s,0,1.0,0.0,0.0,,0.4077,0.6668,0.6667,0.6628,0.9922,0.6667,0.6668
ConvNextTV1_03_29_2022_21h35m38s,0,1.0,1.0,0.0,,0.395,0.665,0.665,0.661,0.9922,0.665,0.665
ConvNextTV1_03_29_2022_21h27m24s,0,2.0,0.0,0.0,,0.4798,0.664,0.664,0.66,0.9921,0.6639,0.6641
ConvNextTV1_03_29_2022_21h51m24s,0,2.0,1.0,0.0,,0.4534,0.6626,0.6626,0.6587,0.9921,0.6626,0.6627
ConvNextTV1_03_29_2022_21h54m58s,0,,,,Focal loss w/ alpha = 0.25 gamma = 2.0,0.3329,0.6618,0.6618,0.6578,0.9921,0.6618,0.6618
ConvNextTV1_03_29_2022_21h53m12s,0,2.0,2.0,0.0,,0.4301,0.6597,0.6596,0.6557,0.992,0.6596,0.6598
ConvNextTV1_03_29_2022_21h44m41s,1092,0.0,0.0,0.0,,0.3232,0.5204,0.4718,0.5274,0.9983,0.4442,0.628
ConvNextTV1_03_29_2022_21h49m15s,1092,1.0,0.0,0.0,,0.4077,0.516,0.4697,0.5223,0.9983,0.4432,0.6173
ConvNextTV1_03_29_2022_21h35m38s,1092,1.0,1.0,0.0,,0.395,0.514,0.4681,0.5202,0.9983,0.4419,0.6143
ConvNextTV1_03_29_2022_21h27m24s,1092,2.0,0.0,0.0,,0.4798,0.5126,0.4666,0.5188,0.9983,0.4403,0.6133
ConvNextTV1_03_29_2022_21h51m24s,1092,2.0,1.0,0.0,,0.4534,0.51,0.465,0.5159,0.9983,0.4392,0.608
ConvNextTV1_03_29_2022_21h54m58s,1092,,,,Focal loss w/ alpha = 0.25 gamma = 2.0,0.3329,0.5086,0.4621,0.5151,0.9983,0.4356,0.6111
ConvNextTV1_03_29_2022_21h53m12s,1092,2.0,2.0,0.0,,0.4301,0.5057,0.4606,0.5118,0.9983,0.4347,0.6045
