run_name,thres,F1,F2,MCC,A,R,P,activation,image_size,mixup_alpha,noise_level,cnn_attention,definition_name
NFNetL2V1_02_20_2022_10h27m08s,0.3231,0.6785,0.6785,0.6747,0.9925,0.6785,0.6784,silu,448,0.3,2,eca,L2
NFNetL1V1_02_17_2022_20h18m38s,0.3259,0.6691,0.6691,0.6652,0.9923,0.6691,0.6691,silu,384,0.3,2,eca,L1
NFNetL2V1_02_08_2022_06h03m54s,0.3241,0.666,0.666,0.662,0.9922,0.666,0.6659,silu,320,0.3,2,eca,L2
NFNetL2V1_01_29_2022_08h08m56s,0.3213,0.6657,0.6657,0.6618,0.9922,0.6657,0.6658,silu,320,0.2,2,eca,L2
NFNetL1V1_02_08_2022_06h05m08s,0.3213,0.6626,0.6626,0.6586,0.9921,0.6626,0.6625,silu,320,0.3,2,eca,L1
NFNetL2V1_02_09_2022_18h45m11s,0.3187,0.6625,0.6625,0.6585,0.9921,0.6624,0.6626,silu,320,0.3,2,,L2
NFNetL1V1_01_29_2022_08h20m44s,0.3227,0.6625,0.6625,0.6585,0.9921,0.6625,0.6624,silu,320,0.2,2,eca,L1
NFNetL2V1_02_22_2022_19h11m00s,0.3177,0.6604,0.6604,0.6564,0.9921,0.6604,0.6605,hswish,320,0.3,2,,L2
NFNetL2V1_02_16_2022_16h51m07s,0.3179,0.661,0.6611,0.657,0.9921,0.6611,0.661,silu,320,0.2,2,,L2
NFNetL1V1_02_15_2022_20h37m09s,0.3207,0.6596,0.6596,0.6556,0.992,0.6595,0.6596,silu,320,0.2,2,,L1
NFNetL2V1_02_16_2022_16h52m26s,0.3194,0.6596,0.6595,0.6555,0.992,0.6595,0.6596,hswish,320,0.2,2,,L2
NFNetL1V1_02_15_2022_20h42m27s,0.3176,0.658,0.658,0.6539,0.992,0.658,0.6579,hswish,320,0.2,2,,L1
NFNetL1V1_02_09_2022_17h27m35s,0.319,0.6577,0.6576,0.6536,0.992,0.6576,0.6577,silu,320,0.3,2,,L1
NFNetL2V1_02_16_2022_19h13m30s,0.316,0.6573,0.6573,0.6532,0.992,0.6573,0.6572,relu,320,0.2,2,,L2
NFNetL2V1_02_22_2022_19h18m09s,0.3154,0.6563,0.6563,0.6523,0.992,0.6562,0.6564,relu,320,0.3,2,,L2
NFNetL1V1_02_09_2022_05h40m38s,0.3185,0.6552,0.6552,0.6511,0.9919,0.6552,0.6552,hswish,320,0.3,2,,L1
NFNetL1V1_02_16_2022_17h50m22s,0.315,0.654,0.654,0.6499,0.9919,0.654,0.6539,relu,320,0.2,2,,L1
NFNetL1V1_02_08_2022_21h44m16s,0.3146,0.6525,0.6525,0.6484,0.9919,0.6524,0.6526,relu,320,0.3,2,,L1
NFNetL0V1_02_10_2022_17h50m14s,0.319,0.6509,0.6509,0.6468,0.9918,0.6509,0.6509,silu,320,0.3,2,eca,L0
NFNetL0V1_01_29_2022_08h29m32s,0.3205,0.6505,0.6505,0.6464,0.9918,0.6505,0.6504,silu,320,0.2,2,eca,L0
NFNetL0V1_01_29_2022_08h38m15s,0.3149,0.6444,0.6444,0.6402,0.9917,0.6444,0.6444,silu,320,0.2,2,,L0
NFNetL0V1_02_03_2022_23h36m57s,0.3143,0.6434,0.6434,0.6392,0.9917,0.6433,0.6434,hswish,320,0.2,2,,L0
NFNetL0V1_02_10_2022_18h01m36s,0.316,0.6428,0.6429,0.6386,0.9917,0.6429,0.6428,silu,320,0.3,2,,L0
NFNetL0V1_02_23_2022_06h14m25s,0.3147,0.6419,0.6419,0.6377,0.9916,0.642,0.6419,hswish,320,0.3,2,,L0
NFNetL0V1_02_03_2022_23h31m23s,0.3139,0.6404,0.6404,0.6362,0.9916,0.6404,0.6405,relu,320,0.2,2,,L0
