run_name,thres,F1,F2,MCC,A,R,P,activation,image_size,mixup_alpha,noise_level,cnn_attention,definition_name,params,params_human
ConvNextBV1_03_10_2022_21h41m23s,0.3372,0.5493,0.504,0.5548,0.9984,0.4778,0.6461,gelu,448,0.8,2,,B,90005964,90.01M
ConvNextBV1_03_05_2022_15h32m52s,0.3348,0.5383,0.4914,0.5445,0.9984,0.4644,0.6401,gelu,320,0.8,2,,B,90005964,90.01M
ConvNextSV1_03_11_2022_17h49m56s,0.3301,0.5325,0.4826,0.5398,0.9984,0.4542,0.6435,gelu,384,0.8,2,,S,51284908,51.28M
NFNetL2V1_02_20_2022_10h27m08s,0.3231,0.535,0.481,0.5438,0.9984,0.4507,0.6581,silu,448,0.3,2,eca,L2,60963124,60.96M
ConvNextSV1_03_05_2022_15h48m08s,0.3327,0.5264,0.4779,0.5333,0.9984,0.4502,0.6336,gelu,320,0.8,2,,S,51284908,51.28M
NFNetL1V1_02_17_2022_20h18m38s,0.3259,0.5214,0.4671,0.5308,0.9984,0.4367,0.647,silu,384,0.3,2,eca,L1,45648492,45.65M
NFNetL2V1_02_08_2022_06h03m54s,0.3241,0.5159,0.4596,0.5263,0.9984,0.4284,0.6484,silu,320,0.3,2,eca,L2,60963124,60.96M
NFNetL2V1_01_29_2022_08h08m56s,0.3213,0.5161,0.4599,0.5265,0.9984,0.4287,0.6484,silu,320,0.2,2,eca,L2,60963124,60.96M
NFNetL1V1_02_08_2022_06h05m08s,0.3213,0.5129,0.4577,0.5229,0.9984,0.427,0.6421,silu,320,0.3,2,eca,L1,45648492,45.65M
NFNetL1V1_01_29_2022_08h20m44s,0.3227,0.5114,0.4547,0.5221,0.9984,0.4234,0.6457,silu,320,0.2,2,eca,L1,45648492,45.65M
NFNetL2V1_02_09_2022_18h45m11s,0.3187,0.5098,0.4532,0.5204,0.9984,0.422,0.6437,silu,320,0.3,2,,L2,60962944,60.96M
NFNetL2V1_02_16_2022_16h51m07s,0.3179,0.5083,0.4519,0.5189,0.9983,0.4207,0.642,silu,320,0.2,2,,L2,60962944,60.96M
NFNetL2V1_02_22_2022_19h11m00s,0.3177,0.5078,0.4525,0.5179,0.9983,0.4219,0.6378,hswish,320,0.3,2,,L2,60962944,60.96M
NFNetL1V1_02_15_2022_20h37m09s,0.3207,0.5069,0.4503,0.5176,0.9983,0.4192,0.641,silu,320,0.2,2,,L1,45648372,45.65M
NFNetL2V1_02_16_2022_16h52m26s,0.3194,0.5068,0.45,0.5177,0.9983,0.4187,0.642,hswish,320,0.2,2,,L2,60962944,60.96M
ConvNextTV1_03_05_2022_15h56m42s,0.3259,0.5053,0.4587,0.5119,0.9983,0.4321,0.6085,gelu,320,0.8,2,,T,29650348,29.65M
NFNetL1V1_02_15_2022_20h42m27s,0.3176,0.5062,0.4511,0.5163,0.9983,0.4205,0.6357,hswish,320,0.2,2,,L1,45648372,45.65M
NFNetL1V1_02_09_2022_17h27m35s,0.319,0.504,0.4479,0.5145,0.9983,0.417,0.6368,silu,320,0.3,2,,L1,45648372,45.65M
NFNetL2V1_02_16_2022_19h13m30s,0.316,0.4969,0.4344,0.5111,0.9984,0.4007,0.6539,relu,320,0.2,2,,L2,60962944,60.96M
NFNetL2V1_02_22_2022_19h18m09s,0.3154,0.4962,0.4332,0.5107,0.9984,0.3994,0.6549,relu,320,0.3,2,,L2,60962944,60.96M
NFNetL1V1_02_09_2022_05h40m38s,0.3185,0.5002,0.4441,0.5109,0.9983,0.4132,0.6337,hswish,320,0.3,2,,L1,45648372,45.65M
NFNetL1V1_02_16_2022_17h50m22s,0.315,0.494,0.4326,0.5077,0.9983,0.3995,0.647,relu,320,0.2,2,,L1,45648372,45.65M
NFNetL1V1_02_08_2022_21h44m16s,0.3146,0.4902,0.4281,0.5045,0.9983,0.3947,0.6467,relu,320,0.3,2,,L1,45648372,45.65M
NFNetL0V1_02_10_2022_17h50m14s,0.319,0.4919,0.4338,0.5038,0.9983,0.4022,0.6329,silu,320,0.3,2,eca,L0,27324836,27.32M
NFNetL0V1_01_29_2022_08h29m32s,0.3205,0.491,0.4337,0.5026,0.9983,0.4024,0.6297,silu,320,0.2,2,eca,L0,27324836,27.32M
NFNetL0V1_01_29_2022_08h38m15s,0.3149,0.4819,0.4242,0.494,0.9983,0.3929,0.6231,silu,320,0.2,2,,L0,27324776,27.32M
NFNetL0V1_02_03_2022_23h36m57s,0.3143,0.4792,0.4209,0.4917,0.9983,0.3893,0.6231,hswish,320,0.2,2,,L0,27324776,27.32M
NFNetL0V1_02_10_2022_18h01m36s,0.316,0.4783,0.4197,0.491,0.9983,0.3881,0.6232,silu,320,0.3,2,,L0,27324776,27.32M
NFNetL0V1_02_23_2022_06h14m25s,0.3147,0.4766,0.4183,0.4892,0.9983,0.3868,0.6208,hswish,320,0.3,2,,L0,27324776,27.32M
NFNetL0V1_02_03_2022_23h31m23s,0.3139,0.47,0.4063,0.4862,0.9983,0.3726,0.6364,relu,320,0.2,2,,L0,27324776,27.32M
